time,dBm
2025-11-13T19:58:14.967215Z,-92.98
2025-11-13T19:58:14.968215Z,-85.89
2025-11-13T19:58:14.969215Z,-95.54
2025-11-13T19:58:14.970215Z,-91.21
2025-11-13T19:58:14.971215Z,-90.70
2025-11-13T19:58:14.972215Z,-91.76
2025-11-13T19:58:14.973215Z,-93.27
2025-11-13T19:58:14.974215Z,-92.19
2025-11-13T19:58:14.975215Z,-91.69
2025-11-13T19:58:14.976215Z,-91.89
2025-11-13T19:58:14.977215Z,-93.25
2025-11-13T19:58:14.978215Z,-93.98
2025-11-13T19:58:14.979215Z,-90.57
2025-11-13T19:58:14.980215Z,-91.17
2025-11-13T19:58:14.981215Z,-91.70
2025-11-13T19:58:14.982215Z,-94.44
2025-11-13T19:58:14.983215Z,-93.87
2025-11-13T19:58:14.984215Z,-92.24
2025-11-13T19:58:14.985215Z,-93.28
2025-11-13T19:58:14.986215Z,-92.63
2025-11-13T19:58:14.987215Z,-93.12
2025-11-13T19:58:14.988215Z,-92.77
2025-11-13T19:58:14.989215Z,-92.12
2025-11-13T19:58:14.990215Z,-87.32
2025-11-13T19:58:14.991215Z,-91.57
2025-11-13T19:58:14.992215Z,-94.59
2025-11-13T19:58:14.993215Z,-95.64
2025-11-13T19:58:14.994215Z,-94.51
2025-11-13T19:58:14.995215Z,-90.78
2025-11-13T19:58:14.996215Z,-94.96
2025-11-13T19:58:14.997215Z,-95.22
2025-11-13T19:58:14.998215Z,-94.38
2025-11-13T19:58:14.999215Z,-93.52
2025-11-13T19:58:15.000215Z,-93.49
2025-11-13T19:58:15.001215Z,-94.93
2025-11-13T19:58:15.002215Z,-92.49
2025-11-13T19:58:15.003215Z,-93.81
2025-11-13T19:58:15.004215Z,-93.57
2025-11-13T19:58:15.005215Z,-95.92
2025-11-13T19:58:15.006215Z,-91.59
2025-11-13T19:58:15.007215Z,-94.12
2025-11-13T19:58:15.008215Z,-93.92
2025-11-13T19:58:15.009215Z,-93.64
2025-11-13T19:58:15.010215Z,-94.02
2025-11-13T19:58:15.011215Z,-92.59
2025-11-13T19:58:15.012215Z,-94.56
2025-11-13T19:58:15.013215Z,-91.61
2025-11-13T19:58:15.014215Z,-91.65
2025-11-13T19:58:15.015215Z,-94.26
2025-11-13T19:58:15.016215Z,-95.41
2025-11-13T19:58:15.017215Z,-91.56
2025-11-13T19:58:15.018215Z,-93.22
2025-11-13T19:58:15.019215Z,-94.82
2025-11-13T19:58:15.020215Z,-90.97
2025-11-13T19:58:15.021215Z,-93.07
2025-11-13T19:58:15.022215Z,-93.42
2025-11-13T19:58:15.023215Z,-94.57
2025-11-13T19:58:15.024215Z,-91.88
2025-11-13T19:58:15.025215Z,-94.77
2025-11-13T19:58:15.026215Z,-91.66
2025-11-13T19:58:15.027215Z,-92.28
2025-11-13T19:58:15.028215Z,-93.97
2025-11-13T19:58:15.029215Z,-95.05
2025-11-13T19:58:15.030215Z,-95.34
2025-11-13T19:58:15.031215Z,-93.37
2025-11-13T19:58:15.032215Z,-90.99
2025-11-13T19:58:15.033215Z,-93.93
2025-11-13T19:58:15.034215Z,-92.07
2025-11-13T19:58:15.035215Z,-93.97
2025-11-13T19:58:15.036215Z,-91.48
2025-11-13T19:58:15.037215Z,-92.88
2025-11-13T19:58:15.038215Z,-92.15
2025-11-13T19:58:15.039215Z,-93.62
2025-11-13T19:58:15.040215Z,-93.37
2025-11-13T19:58:15.041215Z,-91.45
2025-11-13T19:58:15.042215Z,-92.51
2025-11-13T19:58:15.043215Z,-94.44
2025-11-13T19:58:15.044215Z,-91.66
2025-11-13T19:58:15.045215Z,-94.18
2025-11-13T19:58:15.046215Z,-93.23
2025-11-13T19:58:15.047215Z,-92.60
2025-11-13T19:58:15.048215Z,-93.77
2025-11-13T19:58:15.049215Z,-93.37
2025-11-13T19:58:15.050215Z,-92.70
2025-11-13T19:58:15.051215Z,-94.92
2025-11-13T19:58:15.052215Z,-92.38
2025-11-13T19:58:15.053215Z,-93.11
2025-11-13T19:58:15.054215Z,-94.38
2025-11-13T19:58:15.055215Z,-92.72
2025-11-13T19:58:15.056215Z,-93.13
2025-11-13T19:58:15.057215Z,-91.75
2025-11-13T19:58:15.058215Z,-93.27
2025-11-13T19:58:15.059215Z,-92.69
2025-11-13T19:58:15.060215Z,-94.76
2025-11-13T19:58:15.061215Z,-94.42
2025-11-13T19:58:15.062215Z,-93.12
2025-11-13T19:58:15.063215Z,-92.28
2025-11-13T19:58:15.064215Z,-92.85
2025-11-13T19:58:15.065215Z,-91.56
2025-11-13T19:58:15.066215Z,-94.34
2025-11-13T19:58:15.067215Z,-92.40
2025-11-13T19:58:15.068215Z,-92.02
2025-11-13T19:58:15.069215Z,-92.59
2025-11-13T19:58:15.070215Z,-92.60
2025-11-13T19:58:15.071215Z,-92.16
2025-11-13T19:58:15.072215Z,-93.78
2025-11-13T19:58:15.073215Z,-91.51
2025-11-13T19:58:15.074215Z,-92.81
2025-11-13T19:58:15.075215Z,-91.61
2025-11-13T19:58:15.076215Z,-91.91
2025-11-13T19:58:15.077215Z,-93.21
2025-11-13T19:58:15.078215Z,-91.12
2025-11-13T19:58:15.079215Z,-92.94
2025-11-13T19:58:15.080215Z,-91.95
2025-11-13T19:58:15.081215Z,-92.90
2025-11-13T19:58:15.082215Z,-94.52
2025-11-13T19:58:15.083215Z,-93.60
2025-11-13T19:58:15.084215Z,-94.72
2025-11-13T19:58:15.085215Z,-92.25
2025-11-13T19:58:15.086215Z,-93.01
2025-11-13T19:58:15.087215Z,-94.96
2025-11-13T19:58:15.088215Z,-90.46
2025-11-13T19:58:15.089215Z,-92.40
2025-11-13T19:58:15.090215Z,-92.18
2025-11-13T19:58:15.091215Z,-97.50
2025-11-13T19:58:15.092215Z,-90.84
