time,dBm
2025-11-13T19:58:13.763876Z,-51.16
2025-11-13T19:58:13.764876Z,-59.44
2025-11-13T19:58:13.765876Z,-67.22
2025-11-13T19:58:13.766876Z,-63.51
2025-11-13T19:58:13.767876Z,-63.78
2025-11-13T19:58:13.768876Z,-61.48
2025-11-13T19:58:13.769876Z,-55.16
2025-11-13T19:58:13.770876Z,-65.21
2025-11-13T19:58:13.771876Z,-64.13
2025-11-13T19:58:13.772876Z,-49.80
2025-11-13T19:58:13.773876Z,-51.30
2025-11-13T19:58:13.774876Z,-66.45
2025-11-13T19:58:13.775876Z,-55.56
2025-11-13T19:58:13.776876Z,-53.10
2025-11-13T19:58:13.777876Z,-53.34
2025-11-13T19:58:13.778876Z,-58.16
2025-11-13T19:58:13.779876Z,-56.38
2025-11-13T19:58:13.780876Z,-62.19
2025-11-13T19:58:13.781876Z,-61.97
2025-11-13T19:58:13.782876Z,-59.22
2025-11-13T19:58:13.783876Z,-70.65
2025-11-13T19:58:13.784876Z,-56.58
2025-11-13T19:58:13.785876Z,-57.98
2025-11-13T19:58:13.786876Z,-59.08
2025-11-13T19:58:13.787876Z,-52.31
2025-11-13T19:58:13.788876Z,-58.27
2025-11-13T19:58:13.789876Z,-62.11
2025-11-13T19:58:13.790876Z,-63.01
2025-11-13T19:58:13.791876Z,-53.41
2025-11-13T19:58:13.792876Z,-56.27
2025-11-13T19:58:13.793876Z,-55.94
2025-11-13T19:58:13.794876Z,-60.06
2025-11-13T19:58:13.795876Z,-61.77
2025-11-13T19:58:13.796876Z,-64.86
2025-11-13T19:58:13.797876Z,-58.48
2025-11-13T19:58:13.798876Z,-63.93
2025-11-13T19:58:13.799876Z,-60.98
2025-11-13T19:58:13.800876Z,-59.93
2025-11-13T19:58:13.801876Z,-58.81
2025-11-13T19:58:13.802876Z,-52.02
2025-11-13T19:58:13.803876Z,-62.83
2025-11-13T19:58:13.804876Z,-61.51
2025-11-13T19:58:13.805876Z,-61.64
2025-11-13T19:58:13.806876Z,-56.47
2025-11-13T19:58:13.807876Z,-55.62
2025-11-13T19:58:13.808876Z,-45.35
2025-11-13T19:58:13.809876Z,-66.35
2025-11-13T19:58:13.810876Z,-43.69
2025-11-13T19:58:13.811876Z,-64.02
2025-11-13T19:58:13.812876Z,-54.91
2025-11-13T19:58:13.813876Z,-42.50
2025-11-13T19:58:13.814876Z,-63.03
2025-11-13T19:58:13.815876Z,-62.83
2025-11-13T19:58:13.816876Z,-60.23
2025-11-13T19:58:13.817876Z,-67.75
2025-11-13T19:58:13.818876Z,-60.78
2025-11-13T19:58:13.819876Z,-55.63
2025-11-13T19:58:13.820876Z,-72.14
2025-11-13T19:58:13.821876Z,-63.41
2025-11-13T19:58:13.822876Z,-65.75
2025-11-13T19:58:13.823876Z,-58.29
2025-11-13T19:58:13.824876Z,-63.82
2025-11-13T19:58:13.825876Z,-51.86
2025-11-13T19:58:13.826876Z,-62.40
2025-11-13T19:58:13.827876Z,-58.07
